player_id,nation_slug,attribute_id,source
56,germany,nation:germany,legendary_citizenship
5658,czech_republic,nation:czech_republic,legendary_citizenship
5749,italy,nation:italy,legendary_citizenship
5751,italy,nation:italy,legendary_citizenship
5757,italy,nation:italy,legendary_citizenship
5758,netherlands,nation:netherlands,legendary_citizenship
5772,colombia,nation:colombia,legendary_citizenship
5775,italy,nation:italy,legendary_citizenship
5778,italy,nation:italy,legendary_citizenship
5797,italy,nation:italy,legendary_citizenship
5802,denmark,nation:denmark,legendary_citizenship
5803,italy,nation:italy,legendary_citizenship
5813,italy,nation:italy,legendary_citizenship
5817,italy,nation:italy,legendary_citizenship
5819,brazil,nation:brazil,legendary_citizenship
5821,italy,nation:italy,legendary_citizenship
5826,italy,nation:italy,legendary_citizenship
5834,serbia,nation:serbia,legendary_citizenship
5841,argentina,nation:argentina,legendary_citizenship
5875,japan,nation:japan,legendary_citizenship
5937,brazil,nation:brazil,legendary_citizenship
5938,argentina,nation:argentina,legendary_citizenship
5940,italy,nation:italy,legendary_citizenship
5947,italy,nation:italy,legendary_citizenship
5950,spain,nation:spain,legendary_citizenship
5958,italy,nation:italy,legendary_citizenship
5959,argentina,nation:argentina,legendary_citizenship
5985,italy,nation:italy,legendary_citizenship
6069,japan,nation:japan,legendary_citizenship
6288,germany,nation:germany,legendary_citizenship
63,germany,nation:germany,legendary_citizenship
65,bulgaria,nation:bulgaria,legendary_citizenship
6657,ghana,nation:ghana,legendary_citizenship
68,united_states,nation:united_states,legendary_citizenship
68204,italy,nation:italy,legendary_citizenship
68290,brazil,nation:brazil,legendary_citizenship
70667,netherlands,nation:netherlands,legendary_citizenship
7109,italy,nation:italy,legendary_citizenship
71378,germany,nation:germany,legendary_citizenship
72343,germany,nation:germany,legendary_citizenship
72347,germany,nation:germany,legendary_citizenship
72351,germany,nation:germany,legendary_citizenship
7349,spain,nation:spain,legendary_citizenship
74471,netherlands,nation:netherlands,legendary_citizenship
7476,spain,nation:spain,legendary_citizenship
7486,spain,nation:spain,legendary_citizenship
7513,spain,nation:spain,legendary_citizenship
7518,brazil,nation:brazil,legendary_citizenship
75287,ivory_coast,nation:ivory_coast,legendary_citizenship
7530,spain,nation:spain,legendary_citizenship
7531,spain,nation:spain,legendary_citizenship
75553,france,nation:france,legendary_citizenship
7566,italy,nation:italy,legendary_citizenship
7594,spain,nation:spain,legendary_citizenship
7600,spain,nation:spain,legendary_citizenship
7601,spain,nation:spain,legendary_citizenship
7607,spain,nation:spain,legendary_citizenship
77010,germany,nation:germany,legendary_citizenship
7767,spain,nation:spain,legendary_citizenship
7938,bulgaria,nation:bulgaria,legendary_citizenship
7939,romania,nation:romania,legendary_citizenship
7940,netherlands,nation:netherlands,legendary_citizenship
7942,brazil,nation:brazil,legendary_citizenship
7980,spain,nation:spain,legendary_citizenship
8013,croatia,nation:croatia,legendary_citizenship
8016,portugal,nation:portugal,legendary_citizenship
8021,netherlands,nation:netherlands,legendary_citizenship
8023,denmark,nation:denmark,legendary_citizenship
8024,argentina,nation:argentina,legendary_citizenship
8117,spain,nation:spain,legendary_citizenship
8198,portugal,nation:portugal,legendary_citizenship
84528,mexico,nation:mexico,legendary_citizenship
8542,liberia,nation:liberia,legendary_citizenship
85458,england,nation:england,legendary_citizenship
8564,portugal,nation:portugal,legendary_citizenship
87436,england,nation:england,legendary_citizenship
8806,spain,nation:spain,legendary_citizenship
88103,colombia,nation:colombia,legendary_citizenship
88755,belgium,nation:belgium,legendary_citizenship
88978,spain,nation:spain,legendary_citizenship
88989,cameroon,nation:cameroon,legendary_citizenship
88994,france,nation:france,legendary_citizenship
88998,colombia,nation:colombia,legendary_citizenship
89229,italy,nation:italy,legendary_citizenship
89230,portugal,nation:portugal,legendary_citizenship
89545,croatia,nation:croatia,legendary_citizenship
89550,germany,nation:germany,legendary_citizenship
92141,colombia,nation:colombia,legendary_citizenship
93128,senegal,nation:senegal,legendary_citizenship
9594,belgium,nation:belgium,legendary_citizenship
96341,belgium,nation:belgium,legendary_citizenship
96342,brazil,nation:brazil,legendary_citizenship
96628,south_korea,nation:south_korea,legendary_citizenship
9828,portugal,nation:portugal,legendary_citizenship
